0.0	1429
5.81	1429
11.62	1427
17.43	1431
23.24	1433
29.05	1438
34.86	1438
40.67	1444
46.48	1454
52.29	1471
58.1	1473
63.91	1488
69.72	1504
75.53	1516
81.34	1544
87.15	1558
92.96	1566
98.77	1586
104.58	1582
110.39	1584
116.2	1575
122.01	1578
127.82	1576
133.63	1576
139.44	1574
145.25	1579
151.06	1585
156.87	1593
162.68	1606
168.49	1619
174.3	1640
180.11	1657
185.92	1667
191.73	1668
197.54	1679
203.35	1668
209.16	1667
214.97	1677
220.78	1685
226.59	1682
232.4	1681
238.21	1688
244.02	1683
249.83	1692
255.64	1680
261.45	1678
267.26	1666
273.07	1652
278.88	1626
284.69	1604
290.5	1579
296.31	1567
302.12	1547
307.93	1527
313.74	1510
319.55	1491
325.36	1467
331.17	1454
336.98	1444
342.79	1432
348.6	1418
354.41	1439
360.22	1423
366.03	1433
371.84	1425
377.65	1432
383.46	1428
389.27	1430
395.08	1429
400.89	1430
406.7	1429
412.51	1431
418.32	1428
424.13	1429
429.94	1425
435.75	1426
441.56	1431
447.37	1428
453.18	1430
458.99	1430
464.8	1431
470.61	1430
476.42	1428
482.23	1428
488.04	1428
493.85	1428
499.66	1428
505.47	1427
511.28	1428
517.09	1430
522.9	1431
528.71	1431
534.52	1429
540.33	1429
546.14	1429
551.95	1429
557.76	1428
563.57	1429
569.38	1431
575.19	1426
581.0	1429
586.81	1428
592.62	1428
598.43	1429
604.24	1425
610.05	1431
615.86	1428
621.67	1430
627.48	1428
633.29	1429
639.1	1430
644.91	1427
650.72	1429
656.53	1429
662.34	1430
668.15	1429
673.96	1430
679.77	1428
685.58	1429
691.39	1428
697.2	1430
703.01	1428
708.82	1425
714.63	1429
720.44	1429
726.25	1429
732.06	1430
737.87	1429
743.68	1427
749.49	1427
755.3	1428
761.11	1428
766.92	1428
772.73	1430
778.54	1431
784.35	1431
790.16	1430
795.97	1428
801.78	1429
807.59	1427
813.4	1431
819.21	1428
825.02	1428
830.83	1426
836.64	1425
842.45	1423
848.26	1428
854.07	1417
859.88	1433
865.69	1423
871.5	1438
877.31	1430
883.12	1439
888.93	1440
894.74	1434
900.55	1426
906.36	1419
912.17	1416
917.98	1419
923.79	1423
929.6	1427
935.41	1435
941.22	1438
947.03	1437
952.84	1432
958.65	1429
964.46	1422
970.27	1418
976.08	1420
981.89	1428
987.7	1431
993.51	1433
999.32	1433
1005.13	1427
1010.94	1400
1016.75	1326
1022.56	1412
1028.37	1547
1034.18	1485
1039.99	1479
1045.8	1489
1051.61	1471
1057.42	1311
1063.23	1282
1069.04	1377
1074.85	1436
1080.66	1431
1086.47	1471
1092.28	1525
1098.09	1503
1103.9	1449
1109.71	1382
1115.52	1372
1121.33	1364
1127.14	1396
1132.95	1373
1138.76	1455
1144.57	1491
1150.38	1514
1156.19	1444
1162.0	1450
1167.81	1422
1173.62	1390
1179.43	1365
1185.24	1374
1191.05	1414
1196.86	1463
1202.67	1468
1208.48	1452
1214.29	1474
